MARKET PLACE,Customer Site ID,Customer Name,Product Code,Product Serial Number,Equipment Rental Payment/Month
GREATER CAPITAL,116,JHU PROVOST OFFICE GARLAND HALL RM 265,D3,MQJ01635,346
NORTH FLORIDA,174,FLORIDA HOSP FPMG ORLANDO CLINIC,D3,NQJ11290,324
NORTH FLORIDA,255,CARLEY CORP,A5,NFD01785,448
NORTH FLORIDA,267,COLONIAL HIGH SCHOOL ORNAGE CNTY PUBLIC SCHOOL,D3,NNY19183,0
NORTH FLORIDA,340,PROGRESS ENERGY FOLRIDA INC,C2,NNC05414,0
NORTH FLORIDA,465,HELLO FLORIDA INC,F1,UFW38931,53
GREATER CAPITAL,505,ARNOLD & GAY STE 560,D3,NQG09849,215
NORTH FLORIDA,630,SAN JOSE APARTMENTS,D1,NFY06022,135
GREATER CAPITAL,669,SINCLAIR BROADCAST GRP,D4,MPL28864,637
GREATER CAPITAL,695,CONSTELLATION POWER INC ACCOUNTS PAYABLE,D4,NLE02559,854
GREATER CAPITAL,695,CONSTELLATION POWER INC ACCOUNTS PAYABLE,D4,NLE13776,746
GREATER CAPITAL,695,CONSTELLATION POWER INC ACCOUNTS PAYABLE,F1,UYG21179,92
GREATER CAPITAL,695,CONSTELLATION POWER INC ACCOUNTS PAYABLE,F1,UYP19838,99
GREATER CAPITAL,695,CONSTELLATION POWER INC ACCOUNTS PAYABLE,F1,UYP19830,99
NORTH FLORIDA,784,CONSULATE OF MEXICO,D4,H5306600708,480
NORTH FLORIDA,952,BRINKS INC OF FLORIDA,F1,UYS39542,71
NORTH FLORIDA,952,BRINKS INC OF FLORIDA,F1,UYS39549,71
NORTH FLORIDA,952,BRINKS INC OF FLORIDA,F1,UKJ12946,71
NORTH FLORIDA,1096,DANIEL C FREEMAN JR CPA,D1,NFZ01407,105
NORTH FLORIDA,1239,UNIVERSAL AMERICAN MRTG ACCOUNTS PAYABLE,F1,UYR53740,80
GREATER CAPITAL,1317,RECEIVABLES OUTSOURCING,D3,MPH04056,271
NORTH FLORIDA,1324,ROCK & WATERSCAPE SYSTEMS,D3,NQH00008,184
GREATER CAPITAL,1418,ARTH PRODUCTION SERVICES,D3,MPH04021,360
GREATER CAPITAL,1545,BENTANA APARTMENTS,D3,NQJ02160,151
GREATER CAPITAL,1588,BONNIE VIEW COUNTRY CLUB,D3,NQG02272,199
GREATER CAPITAL,1615,BROWNING FERRIS INDUSTRIES,D3,NQJ34373,239
NORTH FLORIDA,1627,TIME WARNER CABLE,D5,MPB08081,952
NORTH FLORIDA,1627,TIME WARNER CABLE,D5,MPB08158,952
GREATER CAPITAL,1634,CB RICHARD ELLIS,F1,UYS13148,63
NORTH FLORIDA,1726,BAKER LEISURE GRP,F1,UYP64464,88
GREATER CAPITAL,1745,CHESAPEAKE FINISHED METAL ACCOUNTS PAYABLE,A2,NGM06376,167
GREATER CAPITAL,1753,CES ACQUISITION CORP,F1,UYR07298,82
GREATER CAPITAL,1754,CHESAPEAKE REHAB EQUIP CO,A2,NGV12789,131
GREATER CAPITAL,1754,CHESAPEAKE REHAB EQUIP CO,A2,NGM22127,165
GREATER CAPITAL,1754,CHESAPEAKE REHAB EQUIP CO,D3,NNV04979,401
GREATER CAPITAL,1808,COIL CEDC,D1,NJP09226,109
NORTH FLORIDA,1830,HOLIDAY INN TOWER BLDG SALE OFFICE,D4,MPL12286,449
NORTH FLORIDA,1830,HOLIDAY INN TOWER BLDG SALE OFFICE,F1,UYS65667,61
GREATER CAPITAL,1896,COPY CAT FELLS POINT,A2,NFN03011,153
NORTH FLORIDA,1907,ALLEN & ASSOCIATES MUST DELIVER UPSTAIRS,D4,NNT19193,"1,901"
GREATER CAPITAL,1965,DARC GRAPHICS,BLANK,H1700901170,78
GREATER CAPITAL,1990,DEERFIELD SENIOR SERVICE,D3,NQJ00211,173
NORTH FLORIDA,2056,PHYSICIAN ASSOCIATE OF FL,F1,UYS08432,75
NORTH FLORIDA,2104,FLORIDA HIGH SCHOOL ORANGE CNTY PUBLIC SCHL,D3,NNV16386,245
NORTH FLORIDA,2104,FLORIDA HIGH SCHOOL ORANGE CNTY PUBLIC SCHL,D3,NQJ59372,247
NORTH FLORIDA,2104,FLORIDA HIGH SCHOOL ORANGE CNTY PUBLIC SCHL,D3,NQJ58738,247
NORTH FLORIDA,2104,FLORIDA HIGH SCHOOL ORANGE CNTY PUBLIC SCHL,D3,NNY18615,247
NORTH FLORIDA,2104,FLORIDA HIGH SCHOOL ORANGE CNTY PUBLIC SCHL,D3,NNV16983,364
GREATER CAPITAL,2326,SUMMIT ACCTING SVCS INC,D3,NQJ35805,299
NORTH FLORIDA,2329,AMERICAN INCOME LIFE INSURANCE CO INC,D3,A7699830984,280
GREATER CAPITAL,2446,HEALTH OBJECTS CORP,D3,NNV10464,336
NORTH FLORIDA,2594,THE ARBORS AT MAITLAND CT,D3,NQJ26347,299
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601908,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601926,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601910,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411602821,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601931,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601912,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601913,115
GREATER CAPITAL,2607,HOOD COLLEGE,D2,H2411601929,115
GREATER CAPITAL,2607,HOOD COLLEGE,D4,H4715101152,310
GREATER CAPITAL,2607,HOOD COLLEGE,D4,H4715200325,310
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200444,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200291,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200287,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200442,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200289,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200306,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200292,62
GREATER CAPITAL,2607,HOOD COLLEGE,BLANK,H1710200290,62
NORTH FLORIDA,2631,PINEHURST PARK,A2,NGM02679,99
NORTH FLORIDA,2850,SIEMENS TELECOM NETWORKS NORTH COPY RM,A2,NHE02307,86
NORTH FLORIDA,2850,SIEMENS TELECOM NETWORKS NORTH COPY RM,A2,NHE02531,86
NORTH FLORIDA,2850,SIEMENS TELECOM NETWORKS NORTH COPY RM,A4,NJE33513,173
NORTH FLORIDA,2850,SIEMENS TELECOM NETWORKS NORTH COPY RM,A4,NJE33588,173
NORTH FLORIDA,3050,MASSEY SERVICES INC,D2,MPG30939,160
GREATER CAPITAL,3088,INNOVATIVE PROPERTIES INC,D3,NQJ46394,243
GREATER CAPITAL,3204,CHESAPEAKE INN PO BOX 236,BLANK,H1700800372,125
GREATER CAPITAL,3316,JHU/DAVID BUCHHOLZ MD,D3,A3917020220,0
NORTH FLORIDA,3541,FLORIDA PHYSICAN MEDICAL GRP,F1,UYG03296,99
NORTH FLORIDA,3707,CAFE TU TU TANGO,D3,MPH13794,322
NORTH FLORIDA,3724,DPK PRODUCTIONS INC,D3,H7016800687,0
GREATER CAPITAL,3729,LAUMAN FURNITURE,F1,UEW12324,120
NORTH FLORIDA,3784,FLORIDA PHYSICIANS MDCL CANCER INSTITUTE,D4,NNT14776,444
NORTH FLORIDA,3826,STAIRS PROPERTY MGMT,A2,NGV18166,104
GREATER CAPITAL,4018,ADVANCED INTEGRATED COMMU,D3,NQJ34158,481
GREATER CAPITAL,4693,SYSTEMS ENGINEERING GRP STE 350,C1,NJM02945,264
GREATER CAPITAL,5064,BRITTS DUTCH INN,A1,NVF40442,50
NORTH FLORIDA,5117,CORPORATE MGMT ADVISORS INC,D3,H5206401347,324
GREATER CAPITAL,5118,MARSHALL MANAGEMENT INC,D4,NNT08519,410
GREATER CAPITAL,5129,MBC PRECISION IMAGING,C2,NND03640,444
GREATER CAPITAL,5155,MARYLAND SCREENPRINT,C2,NND02563,312
GREATER CAPITAL,5213,MSDT MERCANTILE,D4,NNT11896,498
GREATER CAPITAL,5303,MERIDAN MANAGEMENT GRP MMG INC,D4,NLE10917,501
NORTH FLORIDA,5348,WYNDHAM PALACE RESORT SPA ENGINEERING DEPT,A2,NFM03116,175
GREATER CAPITAL,5352,ANA COMP INC,D3,NNY00830,303
GREATER CAPITAL,5371,JSJ CORP PARCEL PLUS,D3,NQJ32128,157
NORTH FLORIDA,5435,RINKER MATERIALS CSR CENTRAL REG DIST,D2,NPR00990,174
GREATER CAPITAL,5609,TIDEWATER INN,D3,NNV04950,219
GREATER CAPITAL,5609,TIDEWATER INN,D1,A9029050243,214
GREATER CAPITAL,5661,MERCANTILE CNTY BANK COMM LOANS #11910045,D3,NNV12960,295
NORTH FLORIDA,5695,GRABEL ORLANDO MOVERS STE 100,F1,UYR55254,63
NORTH FLORIDA,5711,MARRIOTT SABAL PALMS MAINTENANCE ONLY,D3,H5206501289,204
GREATER CAPITAL,5732,CONSTAR INC,D4,A7709850707,318
GREATER CAPITAL,5840,C BAY SYS,D1,A7228060304,171
NORTH FLORIDA,5885,MARRIOTT ROYAL PALMS ACCOUNTS PAYABLE,D5,H4805400115,542
NORTH FLORIDA,5886,WEST OAK COMMUNITY CHURCH OF GOD,D3,NQG02736,341
GREATER CAPITAL,5895,AMERICAN RADIOLOGY SVC,A4,NJE23169,324
GREATER CAPITAL,5895,AMERICAN RADIOLOGY SVC,D3,NQJ34867,167
NORTH FLORIDA,5982,PULTE HOMES CORP,D1,NLV01826,148
NORTH FLORIDA,6000,RENAR HOMES,A3,NCJ00553,192
GREATER CAPITAL,6013,COMCAST CABLE,F1,UYG25230,91
GREATER CAPITAL,6045,COMCAST CABLE,F1,UYG21197,87
NORTH FLORIDA,6065,AMERISOURCE INC,D3,NQG05419,436
NORTH FLORIDA,6151,VALENCIA WATER CONTROL DISTRICT,D1,H6717104071,115
NORTH FLORIDA,6227,FLORIDA CONCRETE PRODUCTS ASSOC,F1,UYP22799,151
NORTH FLORIDA,6235,COLDWELL BANKER,D3,NQJ58579,278
GREATER CAPITAL,6239,THE INN AT PERRY CABIN ACCOUNTS PAYABLE,F1,UYP71622,77
NORTH FLORIDA,6333,WESTERN PEST SERVICES,D2,MPG30822,242
NORTH FLORIDA,6816,HEMATOLOGY ONCOLOGY CTR FOR CHILDREN,F1,UYP67064,129
PACIFIC NORTHWEST,6838,STEINFELD'S PRODUCTS CO,D1,NFZ01824,138
PACIFIC NORTHWEST,6875,EXCELSIOR PACKAGING WEST BUILDING 56,D4,NNT09036,0
PACIFIC NORTHWEST,6875,EXCELSIOR PACKAGING WEST BUILDING 56,F1,UYP12573,0
NORTH FLORIDA,6899,KATHLEEN ROAT & CO INC,D2,9A37090002,189
PACIFIC NORTHWEST,7086,LAZERQUICK COPIES,D5,MPB00852,623
NORTH FLORIDA,7133,HOSPICE LAKE & SUMTER INC,A1,NVH39315,0
NORTH FLORIDA,7133,HOSPICE LAKE & SUMTER INC,A1,NVH21326,0
NORTH FLORIDA,7133,HOSPICE LAKE & SUMTER INC,D5,MPV01158,0
GREATER CAPITAL,7250,PAM WINGATE REAL ESTATE,A2,NKU17684,143
PACIFIC NORTHWEST,7261,CANBY SCHOOL DISTRICT ACKERMAN MIDDLE SCHOOL,D3,NQG11115,262
GREATER CAPITAL,7392,ILC DOVER LP,D5,H3600500494,776
NORTH FLORIDA,7415,REMAX COUNTRY,D3,NQJ16204,244
GREATER CAPITAL,7428,LOCUST PARK ASSOC SIERRA WOODS 079,D3,NQJ40308,158
GREATER CAPITAL,7432,COPPERSTONE LTD PARTNER,F1,UBV04810,39
NORTH FLORIDA,7491,VILLAGES REGIONAL HOSP ADMN,D4,NNT29008,410
NORTH FLORIDA,7493,RADIOLOGY ASSOCIATES OF LAKE COUNTY,A1,NVH02037,28
NORTH FLORIDA,7493,RADIOLOGY ASSOCIATES OF LAKE COUNTY,D3,NQJ20809,153
GREATER CAPITAL,7627,PRESTON PARTNERS,D3,NQJ53662,220
GREATER CAPITAL,7779,B & K DISTRIBUTORS,F1,UYS39613,79
NORTH FLORIDA,7788,ST BRENDANS CHURCH,A3,NAG03935,121
GREATER CAPITAL,7881,HORIZON AT COMMUNITY REHAB CTR,D3,NQJ32084,246
NORTH FLORIDA,7981,INTERVEST CONSTRUCTION,F1,UYP09321,85
GREATER CAPITAL,8024,JANE SHARSHON COLLIERS PINKARD,D3,A7699820143,480
GREATER CAPITAL,8029,RUSCOMBE GARDENS ASSOC RUSCOMBE GARDENS 082,A2,NCH03167,164
NORTH FLORIDA,8033,MASSEY SERVICES INC STE 2,A1,NVH36304,40
GREATER CAPITAL,8096,SHAWE & ROSENTHAL,D4,MPL18347,410
SOUTH FLORIDA,8255,MASSEY SERVICES INC,D2,MPG34482,160
GREATER CAPITAL,8359,ST PAULS AME ZION CHURCH PO BOX 2337,D1,H6626303522,53
PACIFIC NORTHWEST,8388,NATURE'S FRESH NORTHWEST,A2,VMI05358,147
NORTH FLORIDA,8416,MASSEY SERVICES INC,D2,MPG31140,160
PACIFIC NORTHWEST,8435,STROHECKER'S GROCERY,A1,NUN09679,59
NORTH FLORIDA,8479,QUALITY INN OCEAN PALMS,D2,NPR09899,135
NORTH FLORIDA,8539,LANDT WIECHENS LAPEER AND AYRES,A4,NDK42649,265
NORTH FLORIDA,8541,MARTELLI CONSTRUCTION,A2,NFM01156,108
NORTH FLORIDA,8551,SEACOAST SUPPLY,D3,NQJ26341,334
GREATER CAPITAL,8558,TRACO FINANCIAL CORP,D1,A9029050246,181
NORTH FLORIDA,8562,PARKSIDE GARDEN APT,A2,NGM06057,210
NORTH FLORIDA,8592,MASSEY SERVICES INC STE 102 & 103,D2,MPG34516,160
NORTH FLORIDA,8677,WINTER HAVEN HOSPITAL INC ACCOUNTS PAYABLE,D3,NQJ58491,160
NORTH FLORIDA,8757,CARTER SUBWAY,D2,MPG19574,168
NORTH FLORIDA,9107,US POSTAL SERVICE,A2,NRD23452,204
NORTH FLORIDA,9406,LAKE WALES LUTHERAN CHURCH,D3,A7690810296,252
GREATER CAPITAL,9483,CANTON AGENCY THE,A5,123406530,445
PACIFIC NORTHWEST,9623,CENTRAL DISPATCH INC,F1,UYG00396,164
GREATER CAPITAL,9723,MSDT MERCHANTILE,D4,NNT01230,612
GREATER PHILADELPHIA,9866,CHELSEA HISTORIC PROPERTS 1ST SALES OFFC,D1,NJY01592,131
GREATER PHILADELPHIA,9901,T & N VAN SERVICE,F1,A2828800317,0
